prompt,response
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms:  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms:  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms:  continuous_sneezing,  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  chills.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
